Value,Time zone,UTC
-43200,International Date Line West,-12:00
-39600,"Midway Island, Samoa",-11:00
-36000,Hawaii,-10:00
-34200,"French Polynesia, Marquesas Islands",0
-32400,Alaska,-09:00
-28800,Pacific Time (US & Canada),-08:00
-25200,Mountain Time (US & Canada),-07:00
-21600,"Central Time (US & Canada), Guadalajara, Mexico city",-06:00
-18000,Eastern time (US & Canada),-05:00
-16200,Venezuela,0
-14400,"Atlantic time (Canada), Manaus, Santiago",-04:00
-12600,Newfoundland,0
-10800,"Greenland, Brasilia, Montevideo",-03:00
-7200,Mid-Atlantic,-02:00
-3600,Azores,-01:00
0,"GMT: Dublin, Edinburgh, Lisbon, London",0:00
3600,"Amsterdam, Berlin, Rome, Vienna, Prague, Brussels",+01:00
7200,"Athens, Istanbul, Beirut, Cairo, Jerusalem",+02:00
10800,"St. Petersburg, Minsk, Baghdad, Moscow",+03:00
12600,Iran,+03:30
14400,"Volgograd, Baku, Yerevan",+04:00
16200,Afghanistan,+04:30
18000,"Yekaterinburg, Tashkent",+05:00
19800,"Chennai, Kolkata, Mumbai, New Delhi",+05:30
20700,Nepal,+05:45
21600,"Omsk, Almaty",+06:00
23400,"Myanmar, Cocos Islands",+06:30
25200,,+07:00
28800,"Krasnoyarsk, Ulaan Bataar, Perth",+08:00
32400,Irkutsk,+09:00
34200,Australian Central Standard Time,+09:30
36000,"Yakutsk, Canberra, Melbourne, Sydney, Hobart",+10:00
37800,Lord Howe Standard Time,+10:30
39600,"Vladivostok, Solomon Is., New Caledonia",+11:00
41400,Norfolk Islan,+11:30
43200,"Magadan, Auckland, Wellington",+12:00
45900,"New Zealand, Chatham Island",+12:45
46800,Nuku'alofa,+13:00
50400,"Kiribati, Line Islands",+14:00
